date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:15	40234/40234	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2022:17:12%20GMT	http://etiget.org/pgs-berlin-open-qualifier-mea-group-stage-b/	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/pgs-berlin-open-qualifier-mea-group-stage-b/index.html	(from http://etiget.org/)
01:17:18	38763/38763	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2022:17:17%20GMT	http://etiget.org/pubg-pgs-berlin-mea-acik-elemeleri-3-tur/	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/pubg-pgs-berlin-mea-acik-elemeleri-3-tur/index.html	(from http://etiget.org/)
01:17:19	1384/1384	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2012:35:20%20GMT	http://etiget.org/wp-content/uploads/2019/12/star.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/uploads/2019/12/star.png	(from http://etiget.org/)
01:17:21	39510/39510	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2022:17:20%20GMT	http://etiget.org/gll-sezon-4-mea-elemeleri-2-tur/	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/gll-sezon-4-mea-elemeleri-2-tur/index.html	(from http://etiget.org/)
01:17:24	230188/230188	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jan%202020%2009:35:43%20GMT	http://etiget.org/wp-content/uploads/2020/01/PikPng.com_pubg-logo-png_287189.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/uploads/2020/01/PikPng.com_pubg-logo-png_287189.png	(from http://etiget.org/)
01:17:26	39505/39505	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2022:17:25%20GMT	http://etiget.org/gll-sezon-4-mea-elemeleri-3-tur/	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/gll-sezon-4-mea-elemeleri-3-tur/index.html	(from http://etiget.org/)
01:17:29	15273/15273	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Jan%202020%2019:49:10%20GMT	http://etiget.org/wp-content/plugins/visualcomposer/public/dist/front.bundle.js?ver=24.0	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/visualcomposer/public/dist/front.bundlece8b.js	(from http://etiget.org/)
01:17:30	47343/47343	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Dec%202019%2017:38:19%20GMT	http://etiget.org/wp-content/uploads/2019/12/images.jpg	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/uploads/2019/12/images.jpg	(from http://etiget.org/)
01:17:30	0/0	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/js/scripts.min.js?ver=2.0.5	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/js/scripts.min.26c1b4.delayed	(from http://etiget.org/)
01:17:33	38555/38555	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2022:17:31%20GMT	http://etiget.org/medya/	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/medya/index.html	(from http://etiget.org/)
01:17:33	538/538	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2010:41:29%20GMT	http://etiget.org/wp-content/plugins/awsm-team/js/team.min.js?ver=1.1.3	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/awsm-team/js/team.minc358.js	(from http://etiget.org/)
01:17:34	36778/36778	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2022:17:31%20GMT	http://etiget.org/haberler/	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/haberler/index.html	(from http://etiget.org/)
01:17:35	13163/13163	---M--	200	added ('OK')	application/javascript	date:Fri,%2027%20Dec%202019%2010:23:33%20GMT	http://etiget.org/wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-includes/js/thickbox/thickboxab87.js	(from http://etiget.org/)
01:17:37	306988/306988	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202020%2018:50:25%20GMT	http://etiget.org/wp-content/uploads/2020/01/denemehbg-2.jpg	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/uploads/2020/01/denemehbg-2.jpg	(from http://etiget.org/)
01:17:40	277756/277756	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202020%2008:11:03%20GMT	http://etiget.org/wp-content/uploads/2020/02/Arkaplan.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/uploads/2020/02/Arkaplan.png	(from http://etiget.org/)
01:17:41	40401/40401	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2007:45:25%20GMT	http://etiget.org/wp-content/themes/pixiebolt/assets/js/owl.carousel.min.js?ver=1.0.0	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/themes/pixiebolt/assets/js/owl.carousel.min8a54.js	(from http://etiget.org/)
01:17:41	36868/36868	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2007:45:25%20GMT	http://etiget.org/wp-content/themes/pixiebolt/assets/js/bootstrap.min.js?ver=1.0.0	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/themes/pixiebolt/assets/js/bootstrap.min8a54.js	(from http://etiget.org/)
01:17:42	28456/28456	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2007:45:25%20GMT	http://etiget.org/wp-content/themes/pixiebolt/assets/js/chosen.jquery.min.js?ver=1.0.0	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/themes/pixiebolt/assets/js/chosen.jquery.min8a54.js	(from http://etiget.org/)
01:17:42	7390/7390	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2007:45:25%20GMT	http://etiget.org/wp-content/themes/pixiebolt/assets/js/main.js?ver=1.0.6	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/themes/pixiebolt/assets/js/main0ba6.js	(from http://etiget.org/)
01:17:42	1399/1399	---M--	200	added ('OK')	application/javascript	date:Fri,%2027%20Dec%202019%2010:20:28%20GMT	http://etiget.org/wp-includes/js/wp-embed.min.js?ver=5.3.3	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-includes/js/wp-embed.min1852.js	(from http://etiget.org/)
01:17:43	387/387	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-verified.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-verified.png	(from http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/css/styles.min.css?ver=2.0.5)
01:17:43	207/207	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-game.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-game.png	(from http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/css/styles.min.css?ver=2.0.5)
01:17:44	570/570	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-community.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-community.png	(from http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/css/styles.min.css?ver=2.0.5)
01:17:44	605/605	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-views.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-views.png	(from http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/css/styles.min.css?ver=2.0.5)
01:17:44	44868/44868	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2027%20Dec%202019%2010:19:47%20GMT	http://etiget.org/wp-includes/fonts/dashicons.eot?50db0456fde2a241f005968eede3f987	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-includes/fonts/dashicons2ce6.eot	(from http://etiget.org/wp-includes/css/dashicons.min.css?ver=5.3.3)
01:17:44	399/399	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-viewer.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-viewer.png	(from http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/css/styles.min.css?ver=2.0.5)
01:17:44	399/399	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2010:40:59%20GMT	http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-viewer-live.png	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/img/icon-viewer-live.png	(from http://etiget.org/wp-content/plugins/tomparisde-twitchtv-widget/public/css/styles.min.css?ver=2.0.5)
01:17:47	44696/44696	---M--	200	added ('OK')	font/ttf	date:Fri,%2027%20Dec%202019%2010:19:49%20GMT	http://etiget.org/wp-includes/fonts/dashicons.ttf?50db0456fde2a241f005968eede3f987	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-includes/fonts/dashicons2ce6.ttf	(from http://etiget.org/wp-includes/css/dashicons.min.css?ver=5.3.3)
01:17:47	17060/17060	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2031%20Dec%202019%2010:41:29%20GMT	http://etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.eot	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.eot	(from http://etiget.org/wp-content/plugins/awsm-team/css/team.min.css?ver=1.1.3)
01:17:49	16972/16972	---M--	200	added ('OK')	font/woff	date:Tue,%2031%20Dec%202019%2010:41:29%20GMT	http://etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.woff	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.woff	(from http://etiget.org/wp-content/plugins/awsm-team/css/team.min.css?ver=1.1.3)
01:17:49	16896/16896	---M--	200	added ('OK')	font/ttf	date:Tue,%2031%20Dec%202019%2010:41:29%20GMT	http://etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.ttf	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.ttf	(from http://etiget.org/wp-content/plugins/awsm-team/css/team.min.css?ver=1.1.3)
01:17:49	49061/49061	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2031%20Dec%202019%2010:41:29%20GMT	http://etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.svg	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/plugins/awsm-team/css/fonts/icomoon.svg	(from http://etiget.org/wp-content/plugins/awsm-team/css/team.min.css?ver=1.1.3)
01:17:49	33111/33111	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2028%20May%202020%2022:17:48%20GMT	http://etiget.org/wp-content/themes/pixiebolt/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/themes/pixiebolt/assets/fonts/glyphicons-halflings-regular.eot	(from http://etiget.org/wp-content/themes/pixiebolt/assets/css/bootstrap.min.css?ver=1.0)
01:17:51	33111/33111	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2028%20May%202020%2022:17:51%20GMT	http://etiget.org/wp-content/themes/pixiebolt/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/Erhan%20K%c3%b6se/Desktop/MKA%20Esports/etiget.org/wp-content/themes/pixiebolt/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://etiget.org/wp-content/themes/pixiebolt/assets/css/bootstrap.min.css?ver=1.0)
